Append increasing size array infront of of fixed size array
100      775.000000
200      224.000000
300      312.000000
400      548.000000
500      722.000000
600      850.000000
700      1111.000000
800      1368.000000
900      1415.000000
1000     1582.000000
1100     1728.000000
1200     1865.000000
1300     1920.000000
1400     2071.000000
1500     2191.000000
1600     2341.000000
1700     2416.000000
1800     2901.000000
1900     2973.000000
2000     2945.000000
2100     2913.000000
2200     2905.000000
2300     2957.000000
2400     2944.000000
2500     3032.000000
2600     3046.000000
2700     3131.000000
2800     3219.000000
2900     3230.000000
3000     3257.000000
3100     3469.000000
3200     3561.000000
3300     3698.000000
3400     3634.000000
3500     3697.000000
3600     3799.000000
3700     3799.000000
3800     3897.000000
3900     3967.000000
4000     4120.000000
4100     4169.000000
4200     4279.000000
4300     4345.000000
4400     4346.000000
4500     4319.000000
4600     4603.000000
4700     4665.000000
4800     4674.000000
4900     4775.000000
5000     5392.000000
5100     6479.000000
5200     5356.000000
5300     5310.000000
5400     5397.000000
5500     5340.000000
5600     5406.000000
5700     5326.000000
5800     5240.000000
5900     5608.000000
6000     5855.000000
6100     5583.000000
6200     5677.000000
6300     5920.000000
6400     5751.000000
6500     6193.000000
6600     6272.000000
6700     5960.000000
6800     6121.000000
6900     6206.000000
7000     6625.000000
7100     6274.000000
7200     7592.000000
7300     7081.000000
7400     7220.000000
7500     6680.000000
7600     6708.000000
7700     6861.000000
7800     7029.000000
7900     6985.000000
8000     6862.000000
8100     7130.000000
8200     7038.000000
8300     7579.000000
8400     7573.000000
8500     7281.000000
8600     7411.000000
8700     7644.000000
8800     7499.000000
8900     7705.000000
9000     8904.000000
9100     8143.000000
9200     8453.000000
9300     8246.000000
9400     8054.000000
9500     8127.000000
9600     8370.000000
9700     8289.000000
9800     8379.000000
9900     8505.000000
10000    8596.000000
